step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,location,transaction_success,balance_change_pct_orig,balance_change_pct_dest,net_balance_change_orig,net_balance_change_dest,is_large_transaction,transaction_type_numeric,is_balance_zero_after,fraud_risk_score
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1.0,0.0,"Scotland, UK",1,100.0,0.8544991030119914,-181.0,-21182.0,0,1,1,150.4479372853874
1,CASH_OUT,229133.94,C905080434,15325.0,0.0,C476402209,5083.0,51513.44,0.0,0.0,"New York, USA",0,1495.1643719412723,4507.848514656699,-15325.0,46430.44,0,1,1,3027.695735972563
1,CASH_OUT,110414.71,C768216420,26845.41,0.0,C1509514333,288800.0,2415.16,0.0,0.0,"California, USA",0,411.2982815311817,38.23224030470914,-26845.41,-286384.84,0,1,1,237.38531692387
1,CASH_OUT,56953.9,C1570470538,1942.02,0.0,C824009085,70253.0,64106.18,0.0,0.0,"New South Wales, Australia",0,2932.714390171059,81.06970520831851,-1942.02,-6146.82,0,1,1,1513.4017003234353
1,CASH_OUT,5346.89,C512549200,0.0,0.0,C248609774,652637.0,6453430.91,0.0,0.0,"Quebec, Canada",0,inf,0.8192747269921872,0.0,5800793.91,0,1,1,inf
1,CASH_OUT,23261.3,C2072313080,20411.53,0.0,C2001112025,25742.0,0.0,0.0,0.0,"Texas, USA",0,113.9615697598367,90.36321964105352,-20411.53,-25742.0,0,1,1,104.82108853544784
1,CASH_OUT,82940.31,C1528834618,3017.87,0.0,C476800120,132372.0,49864.36,0.0,0.0,"Ontario, Canada",0,2748.306255736662,62.656989393527326,-3017.87,-82507.64,0,1,1,1414.9614405834434
1,CASH_OUT,47458.86,C527211736,209534.84,162075.98,C2096057945,52120.0,0.0,0.0,0.0,"British Columbia, Canada",0,22.649627145538183,91.05690713737528,-47458.85999999999,-52120.0,0,1,0,62.27766640109646
1,CASH_OUT,136872.92,C1533123860,162075.98,25203.05,C766572210,217806.0,0.0,0.0,0.0,"Ontario, Canada",0,84.44984876846033,62.84166643710458,-136872.93000000002,-217806.0,0,1,0,89.28990425764789
1,CASH_OUT,94253.33,C1718906711,25203.05,0.0,C977993101,99773.0,965870.05,0.0,0.0,"New South Wales, Australia",0,373.9758878389719,94.46777184208152,-25203.05,866097.05,0,1,1,244.99469066083677
1,CASH_OUT,28404.6,C2091072548,0.0,0.0,C1282788025,51744.0,0.0,0.0,0.0,"Quebec, Canada",0,inf,54.89448051948052,0.0,-51744.0,0,1,1,inf
1,CASH_OUT,75405.1,C263053820,0.0,0.0,C1870252780,104209.0,46462.23,0.0,0.0,"England, UK",0,inf,72.35948910362829,0.0,-57746.77,0,1,1,inf
1,CASH_OUT,50101.88,C1740826931,0.0,0.0,C97730845,67684.0,9940339.29,0.0,0.0,"Scotland, UK",0,inf,74.02322557768453,0.0,9872655.29,0,1,1,inf
1,CASH_OUT,14121.82,C69062746,0.0,0.0,C100555887,52679.0,10963.66,0.0,0.0,"England, UK",0,inf,26.807304618538694,0.0,-41715.34,0,1,1,inf
1,CASH_OUT,78292.91,C1631227617,0.0,0.0,C1983747920,121112.0,95508.95,0.0,0.0,"Queensland, Australia",0,inf,64.64504755928398,0.0,-25603.050000000003,0,1,1,inf
1,CASH_OUT,176149.9,C24650043,0.0,0.0,C736709391,259813.0,46820.71,0.0,0.0,"England, UK",0,inf,67.79872446721296,0.0,-212992.29,0,1,1,inf
1,CASH_OUT,212228.35,C1896074070,0.0,0.0,C401424608,429747.0,1178808.14,0.0,0.0,"Victoria, Australia",0,inf,49.384486686352666,0.0,749061.1399999999,0,1,1,inf
1,CASH_OUT,85423.63,C460741164,0.0,0.0,C1590550415,5776776.41,19169204.93,0.0,0.0,"Wales, UK",0,inf,1.4787421900582094,0.0,13392428.52,0,1,1,inf
1,CASH_OUT,11648.5,C781091365,0.0,0.0,C985934102,260976.0,971418.91,0.0,0.0,"New York, USA",0,inf,4.463437250934952,0.0,710442.91,0,1,1,inf
1,CASH_OUT,419801.4,C1687354037,38197.63,0.0,C33524623,499962.0,1517262.16,0.0,0.0,"New South Wales, Australia",0,1099.0247300683316,83.96666146627145,-38197.63,1017300.16,1,1,1,639.4776827631063
1,CASH_OUT,335416.51,C743778731,144478.0,0.0,C575335780,295.0,52415.15,0.0,0.0,"Ontario, Canada",0,232.1574980273813,113700.51186440678,-144478.0,52120.15,1,1,1,57004.67173921879
1,CASH_OUT,154139.72,C1642679791,79563.03,0.0,C564160838,410433.04,1254956.07,0.0,0.0,"Victoria, Australia",0,193.73284300509923,37.55538784109584,-79563.03,844523.03,0,1,1,133.2618033121255
1,CASH_OUT,82685.93,C855700733,0.0,0.0,C392292416,833216.44,3420103.09,0.0,0.0,"New South Wales, Australia",0,inf,9.923703617753867,0.0,2586886.65,0,1,1,inf
1,CASH_OUT,83857.23,C247162961,0.0,0.0,C1297685781,215457.59,16997.22,0.0,0.0,"New York, USA",0,inf,38.9205272369379,0.0,-198460.37,0,1,1,inf
1,CASH_OUT,99109.77,C1890266440,0.0,0.0,C1297685781,299314.82,16997.22,0.0,0.0,"Texas, USA",0,inf,33.1122160940778,0.0,-282317.6,0,1,1,inf
1,CASH_OUT,187726.67,C1527152775,0.0,0.0,C747464370,190573.0,1567434.81,0.0,0.0,"New York, USA",0,inf,98.50643585397722,0.0,1376861.81,0,1,1,inf
1,CASH_OUT,281339.92,C1863655430,0.0,0.0,C1509514333,612801.81,2415.16,0.0,0.0,"New South Wales, Australia",0,inf,45.91042575412758,0.0,-610386.65,1,1,1,inf
