step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,location,transaction_success,balance_change_pct_orig,balance_change_pct_dest,net_balance_change_orig,net_balance_change_dest,is_large_transaction,transaction_type_numeric,is_balance_zero_after,fraud_risk_score
1,PAYMENT,9839.64,C1231006815,170136.0,160296.36,M1979787155,0.0,0.0,0.0,0.0,"British Columbia, Canada",1,5.783396811962194,0,-9839.640000000014,0.0,0,1,0,9.972716710939185
1,PAYMENT,1864.28,C1666544295,21249.0,19384.72,M2044282225,0.0,0.0,0.0,0.0,"New York, USA",1,8.773495223304625,0,-1864.2799999999988,0.0,0,1,0,5.728361817615871
1,PAYMENT,11668.14,C2048537720,41554.0,29885.86,M1230701703,0.0,0.0,0.0,0.0,"Quebec, Canada",1,28.07946286759397,0,-11668.14,0.0,0,1,0,22.43661515360926
1,PAYMENT,7817.71,C90045638,53860.0,46042.29,M573487274,0.0,0.0,0.0,0.0,"New York, USA",1,14.514871890085407,0,-7817.709999999999,0.0,0,1,0,12.883388481197876
1,PAYMENT,7107.77,C154988899,183195.0,176087.23,M408069119,0.0,0.0,0.0,0.0,"Quebec, Canada",1,3.879893010180409,0,-7107.7699999999895,0.0,0,1,0,7.054996392833247
1,PAYMENT,7861.64,C1912850431,176087.23,168225.59,M633326333,0.0,0.0,0.0,0.0,"Wales, UK",1,4.464628127775081,0,-7861.640000000014,0.0,0,1,0,7.889880473531664
1,PAYMENT,4024.36,C1265012928,2671.0,0.0,M1176932104,0.0,0.0,0.0,0.0,"Quebec, Canada",0,150.66866342193936,0,-2671.0,0.0,0,1,1,78.2304302293851
1,PAYMENT,3099.97,C249177573,20771.0,17671.03,M2096539129,0.0,0.0,0.0,0.0,"Wales, UK",1,14.924510134321888,0,-3099.970000000001,0.0,0,1,0,9.693123708170262
1,PAYMENT,2560.74,C1648232591,5070.0,2509.26,M972865270,0.0,0.0,0.0,0.0,"California, USA",1,50.507692307692295,0,-2560.74,0.0,0,1,0,27.096662233930214
1,PAYMENT,11633.76,C1716932897,10127.0,0.0,M801569151,0.0,0.0,0.0,0.0,"British Columbia, Canada",0,114.87864125604818,0,-10127.0,0.0,0,1,1,65.81146305554067
1,PAYMENT,4098.78,C1026483832,503264.0,499165.22,M1635378213,0.0,0.0,0.0,0.0,"Quebec, Canada",1,0.8144393399885547,0,-4098.780000000028,0.0,0,1,0,3.356873946776366
1,PAYMENT,1563.82,C761750706,450.0,0.0,M1731217984,0.0,0.0,0.0,0.0,"New York, USA",0,347.5155555555555,0,-450.0,0.0,0,1,1,174.88316834548752
1,PAYMENT,1157.86,C1237762639,21156.0,19998.14,M1877062907,0.0,0.0,0.0,0.0,"British Columbia, Canada",1,5.472962752883342,0,-1157.8600000000006,0.0,0,1,0,3.5697260738674683
1,PAYMENT,671.64,C2033524545,15123.0,14451.36,M473053293,0.0,0.0,0.0,0.0,"New York, USA",1,4.441182305098194,0,-671.6399999999994,0.0,0,1,0,2.7039315119872525
1,PAYMENT,1373.43,C20804602,13854.0,12480.57,M1344519051,0.0,0.0,0.0,0.0,"California, USA",1,9.913598960589,0,-1373.4300000000003,0.0,0,1,0,5.945177405765207
1,PAYMENT,3876.41,C504336483,67852.0,63975.59,M1404932042,0.0,0.0,0.0,0.0,"New South Wales, Australia",1,5.7130371986087365,0,-3876.410000000004,0.0,0,1,0,5.64614608237515
1,PAYMENT,6061.13,C1043358826,443.0,0.0,M1558079303,0.0,0.0,0.0,0.0,"Victoria, Australia",0,1368.2009029345372,0,-443.0,0.0,0,1,1,688.4622952419119
1,PAYMENT,9478.39,C1671590089,116494.0,107015.61,M58488213,0.0,0.0,0.0,0.0,"Ontario, Canada",1,8.1363761223754,0,-9478.39,0.0,0,1,0,10.8892356901184
